image,R_z_mean,R_z_std,R_z_skew,R_z_kurtosis,G_z_mean,G_z_std,G_z_skew,G_z_kurtosis,B_z_mean,B_z_std,B_z_skew,B_z_kurtosis,severity_mean,severity_median,severity,severity_group,split
1,0.2110384434130734,1.1135137334964385,0.150698235112042,0.7395521352886476,0.2492437454651941,1.0711340550322035,0.0626673318673965,1.4780549967002736,0.2056085724352347,1.1262071538140708,0.3222593107059078,1.755400946632153,1.1036183141142375,1.1135137334964385,1.1135137334964385,High,train
2,0.1205567631800016,0.8724377105932243,0.0837806574255447,2.645765136963722,0.1221466995712619,0.8733420518593643,0.2864376930583203,4.716563842407209,0.1345544265984695,0.8659300945228439,0.3507921353690011,4.881276366285302,0.8705699523251441,0.8724377105932243,0.8724377105932243,Medium,train
4,-0.0555598824242398,0.471737131087787,1.2617302281919958,20.55837599032032,-0.0550963926442217,0.4805777506635936,1.970702742882209,39.46263936264268,-0.113403702587098,0.467075480123657,2.6763407005497104,58.63689231639067,0.4731301206250125,0.471737131087787,0.471737131087787,Low,train
5,0.0709666335946915,0.535408748953347,0.3145569570480558,4.390397798453554,0.0111056574520449,0.5231371923673289,1.147140835076376,20.5435615601796,-0.1181068706453529,0.5116566390986166,1.588748006032079,31.045260219039328,0.5234008601397642,0.5231371923673289,0.5231371923673289,Low,train
6,0.2762182715653561,1.219643037917811,0.2626899872628022,0.7721181730356479,0.2515563097212558,1.1946597749861965,0.2815525062140213,0.9897051495677922,-0.2205127151478063,1.1744036297370517,0.6035507931247651,2.429406479494157,1.196235480880353,1.1946597749861965,1.1946597749861965,High,train
7,0.108686991288599,0.9655558135367006,0.0336630548931379,3.1757139388365774,0.1095347753713939,0.976879709800326,0.1671832438651944,4.94108448292933,0.0981892001167187,0.969696145888771,0.2294190733159269,5.806427670454818,0.9707105564085992,0.969696145888771,0.969696145888771,Medium,train
8,0.0947650523355066,0.8574909678694085,0.3011083822122615,1.222264676390127,0.0977935316465014,0.8793171077611397,0.3672401893378661,1.7759001203780178,0.1524318598085108,0.8846750213650435,0.4040706015837421,2.2417852460786545,0.8738276989985305,0.8793171077611397,0.8793171077611397,Medium,train
9,0.2431305869065638,1.0841185174832664,0.0627049246262923,1.3802980634286843,-0.2231341205797026,1.0818569111408205,-0.1549502776147852,1.453043635813512,0.1472264340800637,1.100520682944591,-0.3973070997954877,2.4761479244985187,1.0888320371895592,1.0841185174832664,1.0841185174832664,High,train
10,0.2227467072561131,1.2255835344965265,0.4235871119770087,1.441599212004105,-0.2413080685786937,1.1738716879172628,0.4687870531003763,1.9047246127178497,-0.1728728295608041,1.159006578256553,0.7335838268718812,3.3631259447229755,1.1861539335567808,1.1738716879172628,1.1738716879172628,High,train
11,-0.2364681942653422,1.061975610094688,0.5527006235450109,2.75212034553131,-0.1760569008202129,1.0838445084069832,0.5210843272859516,2.8240532337684776,-0.1299279669656263,1.04943919915011,0.7900503830720077,5.619159596189181,1.0650864392172603,1.061975610094688,1.061975610094688,High,train
12,0.0920675284595201,0.8166818912627493,0.4890809142298678,5.628512786968104,-0.1025801282978931,0.8330142940783323,0.7574816237105044,9.043820149285754,0.0599613894624524,0.8026545594202869,1.0731820608614957,14.766382989227813,0.8174502482537895,0.8166818912627493,0.8166818912627493,Medium,train
13,-0.0181676406424214,0.7473949323667922,2.4680503369565416,41.22908168228236,-0.2213998306525758,0.7432234920953111,2.9193221386942727,51.96984426672845,-0.0085183919087545,0.7354836132530425,3.0599622199896355,55.460029944077526,0.7420340125717152,0.7432234920953111,0.7432234920953111,Medium,train
14,-0.1959613472576627,1.1415513659694982,0.7155853584476723,2.397874034275011,0.3770967136889032,1.167439916272368,0.8229437427950946,4.506838187897825,-0.1138009287770468,1.085815416667603,1.2187057788703028,7.604505455585711,1.131602232969823,1.1415513659694982,1.1415513659694982,High,train
